,S1,C1,E1,P1,C2,E2,S2,C3,P2,E3
4087,-4.14533447294217e-13,-8.636113842533197e-13,0.25000000000086486,-4.1453330082782206e-12,3.914241083003421e-07,0.2500000000008649,1.9999977851544408,-6.908880649322141e-11,1.8234905308755783e-06,0.24999960857589099
4088,-4.145334433137768e-13,-8.636113757109914e-13,0.25000000000086486,-4.1453329784967935e-12,3.8866591523885784e-07,0.2500000000008649,1.9999978007620574,-6.908880654188382e-11,1.8106411074630888e-06,0.24999961133408405
4089,-4.145334393608507e-13,-8.636113672284098e-13,0.25000000000086486,-4.145332948925283e-12,3.8592715446599085e-07,0.2500000000008649,1.9999978162597132,-6.908880659020977e-11,1.7978822123464852e-06,0.24999961407284482
4090,-4.145334354351395e-13,-8.636113588049117e-13,0.25000000000086486,-4.145332919574931e-12,3.8320768905847956e-07,0.2500000000008649,1.9999978316481835,-6.908880663818862e-11,1.7852132076436748e-06,0.24999961679231023
4091,-4.145334315363442e-13,-8.636113504398227e-13,0.25000000000086486,-4.14533289045888e-12,3.805073830515329e-07,0.2500000000008649,1.9999978469282371,-6.908880668580774e-11,1.7726334599378486e-06,0.24999961949261623
4092,-4.1453342766416635e-13,-8.636113421324566e-13,0.25000000000086486,-4.145332861592264e-12,3.7782610143114e-07,0.2500000000008649,1.9999978621006385,-6.908880673305227e-11,1.7601423402416519e-06,0.24999962217389787
4093,-4.1453342381830803e-13,-8.636113338821158e-13,0.25000000000086486,-4.145332832992304e-12,3.7516371012639864e-07,0.2500000000008649,1.999997877166146,-6.908880677990508e-11,1.747739223961446e-06,0.24999962483628918
4094,-4.1453341999847263e-13,-8.636113256880912e-13,0.25000000000086486,-4.1453328046784e-12,3.725200760018325e-07,0.2500000000008649,1.9999978921255133,-6.908880682634667e-11,1.7354234908615153e-06,0.2499996274799233
4095,-4.1453341620466717e-13,-8.636113175502927e-13,0.25000000000086486,-4.145332776605087e-12,3.6989506701795233e-07,0.2500000000008649,1.9999979069794873,-6.908880687242382e-11,1.7231945258118449e-06,0.24999963010493229
4096,-4.1453341243755706e-13,-8.636113094699892e-13,0.25000000000086486,-4.1453327485834545e-12,3.6728855242073867e-07,0.2500000000008649,1.999997921728808,-6.908880691833007e-11,1.711051719670599e-06,0.24999963271144687
4097,-4.1453340869627296e-13,-8.636113014452306e-13,0.25000000000086486,-4.14533272076827e-12,3.647004015134602e-07,0.2500000000008649,1.999997936374215,-6.908880696390674e-11,1.6989944635640364e-06,0.2499996352995978
4098,-4.145334049806739e-13,-8.636112934755698e-13,0.25000000000086486,-4.145332693155684e-12,3.6213048490796943e-07,0.2500000000008649,1.9999979509164405,-6.908880700915743e-11,1.6870221547142226e-06,0.2499996378695144
