,S1,C1,E1,P1,C2,E2,S2,C3,P2,E3
2761,-5.590855329196713e-12,-1.2951719393578738e-11,0.25000000001295125,-8.957966938765402e-12,0.0012546714117666344,0.250000000001825,0.9928692566679798,-7.24764492762177e-11,0.0058760719927322775,0.24874532858823348
2762,-5.460655791765032e-12,-1.2643170544032542e-11,0.2500000000126427,-8.998774034646636e-12,0.001245908084062789,0.25000000000183464,0.9929192780624946,-7.286470716306593e-11,0.00583481392630963,0.24875409191593734
2763,-5.334180119844268e-12,-1.2343446929262473e-11,0.250000000012343,-9.03840191872942e-12,0.0012372054360918123,0.250000000001844,0.9929689500689846,-7.324187479086323e-11,0.005793844568167839,0.24876279456390832
2764,-5.211321670666052e-12,-1.2052295810515818e-11,0.25000000001205186,-9.07688450974199e-12,0.0012285630550329532,0.2500000000018532,0.9930182751068802,-7.360826957994896e-11,0.005753161911697361,0.24877143694496717
2765,-5.091976911459599e-12,-1.1769471819716896e-11,0.25000000001176903,-9.114254733915271e-12,0.0012199805307733411,0.25000000000186207,0.9930672555791378,-7.396419969788045e-11,0.005712763964055398,0.2487800194692268
2766,-4.976045461879141e-12,-1.1494737060034502e-11,0.2500000000114943,-9.150544510375683e-12,0.0012114574558953221,0.25000000000187067,0.9931158938723154,-7.430996393430984e-11,0.005672648746101504,0.2487885425441048
2767,-4.863429574330993e-12,-1.1227859874204756e-11,0.2500000000112274,-9.185784919568407e-12,0.0012029934256484755,0.250000000001879,0.9931641923567813,-7.464585324426645e-11,0.005632814292218354,0.24879700657435164
2768,-4.7540343454696535e-12,-1.0968615345808274e-11,0.2500000000109682,-9.220006134147785e-12,0.001194588037941376,0.2500000000018871,0.9932121533867523,-7.497215012067631e-11,0.005593258650280755,0.24880541196205877
2769,-4.647767772448414e-12,-1.0716785432595162e-11,0.25000000001071637,-9.253237400935843e-12,0.0011862408933296445,0.250000000001895,0.9932597793003656,-7.528912842716744e-11,0.00555397988159619,0.2488137591066705
2770,-4.544540261742266e-12,-1.0472157802351276e-11,0.25000000001047173,-9.285507198870259e-12,0.0011779515949877843,0.25000000000190264,0.9933070724198861,-7.55970548579452e-11,0.00551497606072544,0.24882204840501235
2771,-4.444264820544431e-12,-1.0234526286533437e-11,0.2500000000102341,-9.316843177274172e-12,0.0011697197487010567,0.2500000000019101,0.9933540350517458,-7.589618836915168e-11,0.005476245275451633,0.24883028025129908
2772,-4.346857123669768e-12,-1.0003691038837185e-11,0.2500000000100033,-9.347272134674128e-12,0.0011615449628542994,0.2500000000019173,0.9934006694866089,-7.618677997971678e-11,0.0054377856267258644,0.24883845503714583
2773,-4.252235051133494e-12,-9.7794574392281e-12,0.25000000000977907,-9.376820166635238e-12,0.001153426848403565,0.25000000000192435,0.99344697799958,-7.646907414663926e-11,0.005399595228487677,0.24884657315159656
2774,-4.160318861185877e-12,-9.561636504050288e-12,0.2500000000095612,-9.405512610513426e-12,0.0011453650188681774,0.2500000000019311,0.9934929628502428,-7.674330825033764e-11,0.005361672207634515,0.24885463498113194
2775,-4.071031265591199e-12,-9.35004506444449e-12,0.25000000000934963,-9.433374021172729e-12,0.0011373590903202009,0.25000000000193773,0.9935386262827199,-7.700971237097436e-11,0.00532401470397174,0.2488626409096799
2776,-3.9842969940928635e-12,-9.144504734105698e-12,0.2500000000091441,-9.460428310690129e-12,0.001129408681355997,0.25000000000194417,0.9935839705258812,-7.726851058338042e-11,0.00528662087003349,0.2488705913186441
2777,-3.900042955270599e-12,-8.944842290527678e-12,0.2500000000089444,-9.48669869668845e-12,0.0011215134130885122,0.2500000000019504,0.9936289977933804,-7.751992047888812e-11,0.005249488871053199,0.2488784865869116
2778,-3.81819830181568e-12,-8.750889829712932e-12,0.25000000000875044,-9.512207680672567e-12,0.001113672909136867,0.25000000000195644,0.9936737102837156,-7.776415297200315e-11,0.005212616884913863,0.24888632709086325
2779,-3.7386940512834115e-12,-8.562483867333746e-12,0.25000000000856204,-9.536977170728968e-12,0.0011058867955988983,0.2500000000019623,0.9937181101804275,-7.800141342692248e-11,0.005176003101977188,0.24889411320440122
2780,-3.661463205744646e-12,-8.379465622317404e-12,0.250000000008379,-9.561028442412845e-12,0.0010981547010426448,0.25000000000196804,0.993762199652144,-7.823190130254483e-11,0.00513964572504753,0.24890184529895748
2781,-3.5864408107614658e-12,-8.20168115662437e-12,0.2500000000082013,-9.584382120615274e-12,0.0010904762564960084,0.2500000000019736,0.9938059808526396,-7.845580997634867e-11,0.005103542969322436,0.24890952374350409
2782,-3.5135636587926063e-12,-8.028980672304079e-12,0.2500000000080286,-9.607058273619286e-12,0.0010828510954217383,0.250000000001979,0.993849455921014,-7.867332762732071e-11,0.0050676930622398095,0.24891714890457836
2783,-3.4427703342422647e-12,-7.861218618265868e-12,0.25000000000786077,-9.629076399099326e-12,0.0010752788537064116,0.2500000000019842,0.9938926269817567,-7.888463710157877e-11,0.005032094243423759,0.2489247211462937
2784,-3.374001284957731e-12,-7.698253859734409e-12,0.25000000000769784,-9.650455400332682e-12,0.0010677591696510145,0.25000000000198924,0.9939354961448,-7.908991570067818e-11,0.0049967447646410935,0.2489322408303491
2785,-3.3071985943114118e-12,-7.53994913807408e-12,0.2500000000075395,-9.671213660233958e-12,0.0010602916839481285,0.2500000000019942,0.9939780655056788,-7.928933585832303e-11,0.004961642889664735,0.24893970831605197
2786,-3.24230596529851e-12,-7.386171033101814e-12,0.25000000000738576,-9.69136904612058e-12,0.0010528760396686144,0.25000000000199896,0.9940203371456137,-7.948306518800013e-11,0.0049267868942031,0.24894712396033147
2787,-3.179268799173036e-12,-7.236790149463168e-12,0.2500000000072363,-9.710938884157574e-12,0.0010455118822528997,0.2500000000020036,0.9940623131315595,-7.967126624955958e-11,0.004892175065861152,0.24895448811774717
2788,-3.118034025664485e-12,-7.091680714236755e-12,0.2500000000070912,-9.729940013885517e-12,0.0010381988594903731,0.2500000000020081,0.9941039955163465,-7.985409705392612e-11,0.004857805704019527,0.24896180114050973
2789,-3.0585500404747093e-12,-6.950720428800558e-12,0.2500000000069503,-9.748388808199454e-12,0.0010309366215039135,0.2500000000020125,0.994145386338781,-8.003171124901412e-11,0.004823677119749073,0.24896906337849617
2790,-3.000766787379488e-12,-6.813790663423189e-12,0.2500000000068133,-9.766301147261865e-12,0.001023724820741867,0.2500000000020167,0.9941864876236887,-8.020425787541141e-11,0.00478978763577608,0.24897627517925824
